Expriment 2-1, iteration 200k, temperature 100, cooling_rate:1.3-0.6 
SA, cooling_rate, 1.3, Evaluation Function, 2373.5842582321666, time, 0
SA, cooling_rate, 1.29, Evaluation Function, 2301.3720287427072, time, 0
SA, cooling_rate, 1.28, Evaluation Function, 2148.8708318261356, time, 0
SA, cooling_rate, 1.27, Evaluation Function, 1830.716949254392, time, 0
SA, cooling_rate, 1.26, Evaluation Function, 1871.9406073213515, time, 0
SA, cooling_rate, 1.25, Evaluation Function, 1869.1718262514105, time, 0
SA, cooling_rate, 1.24, Evaluation Function, 2819.2246604434968, time, 0
SA, cooling_rate, 1.23, Evaluation Function, 2418.5424153240238, time, 0
SA, cooling_rate, 1.22, Evaluation Function, 2535.336774789931, time, 0
SA, cooling_rate, 1.21, Evaluation Function, 2679.4323787282674, time, 0
SA, cooling_rate, 1.2, Evaluation Function, 2149.833599087127, time, 0
SA, cooling_rate, 1.19, Evaluation Function, 1852.7463910503643, time, 0
SA, cooling_rate, 1.18, Evaluation Function, 2470.0251517520705, time, 0
SA, cooling_rate, 1.17, Evaluation Function, 2277.5509605650004, time, 0
SA, cooling_rate, 1.16, Evaluation Function, 2397.0163300007794, time, 0
SA, cooling_rate, 1.15, Evaluation Function, 2255.8116514587136, time, 0
SA, cooling_rate, 1.14, Evaluation Function, 2124.5220092625764, time, 0
SA, cooling_rate, 1.13, Evaluation Function, 2201.565878454588, time, 0
SA, cooling_rate, 1.1199999999999999, Evaluation Function, 1940.3641553188104, time, 0
SA, cooling_rate, 1.1099999999999999, Evaluation Function, 2315.2950638300003, time, 0
SA, cooling_rate, 1.0999999999999999, Evaluation Function, 2531.6277544678096, time, 0
SA, cooling_rate, 1.0899999999999999, Evaluation Function, 2165.153491122406, time, 0
SA, cooling_rate, 1.0799999999999998, Evaluation Function, 2557.1996746530185, time, 0
SA, cooling_rate, 1.0699999999999998, Evaluation Function, 2206.7579684231814, time, 0
SA, cooling_rate, 1.0599999999999998, Evaluation Function, 2028.0158435712774, time, 0
SA, cooling_rate, 1.0499999999999998, Evaluation Function, 1793.7920621586486, time, 0
SA, cooling_rate, 1.0399999999999998, Evaluation Function, 2030.0161547277612, time, 0
SA, cooling_rate, 1.0299999999999998, Evaluation Function, 2358.7600218962248, time, 0
SA, cooling_rate, 1.0199999999999998, Evaluation Function, 2145.390172677628, time, 0
SA, cooling_rate, 1.0099999999999998, Evaluation Function, 2315.5290269495135, time, 0
SA, cooling_rate, 0.9999999999999998, Evaluation Function, 1614.877435331494, time, 0
SA, cooling_rate, 0.9899999999999998, Evaluation Function, 1984.734480915192, time, 0
SA, cooling_rate, 0.9799999999999998, Evaluation Function, 2189.9551046340416, time, 0
SA, cooling_rate, 0.9699999999999998, Evaluation Function, 2281.906428983223, time, 0
SA, cooling_rate, 0.9599999999999997, Evaluation Function, 2566.967913047544, time, 0
SA, cooling_rate, 0.9499999999999997, Evaluation Function, 2482.8920498261423, time, 0
SA, cooling_rate, 0.9399999999999997, Evaluation Function, 2538.617230427082, time, 0
SA, cooling_rate, 0.9299999999999997, Evaluation Function, 2805.6627206824014, time, 0
SA, cooling_rate, 0.9199999999999997, Evaluation Function, 2171.771377954463, time, 0
