Expriment 3-1, GA tune population 300 decrease,iteration 1k, toMate 150, toMutate 25
GA, population, 300, Evaluation Function, 3587.7644989023756, time, 190
GA, population, 290, Evaluation Function, 3604.1229964202603, time, 139
GA, population, 280, Evaluation Function, 3560.133756408913, time, 135
GA, population, 270, Evaluation Function, 3565.698321567402, time, 140
GA, population, 260, Evaluation Function, 3539.8681058323286, time, 135
GA, population, 250, Evaluation Function, 3562.678656477623, time, 134
GA, population, 240, Evaluation Function, 3552.5663734124173, time, 127
GA, population, 230, Evaluation Function, 3559.245762913926, time, 126
GA, population, 220, Evaluation Function, 3525.7002368063113, time, 124
GA, population, 210, Evaluation Function, 3498.5394221319975, time, 127
GA, population, 200, Evaluation Function, 3479.4600543204106, time, 120
GA, population, 190, Evaluation Function, 3480.0210240494102, time, 120
GA, population, 180, Evaluation Function, 3471.655416130724, time, 121
GA, population, 170, Evaluation Function, 3442.9139768944638, time, 117
GA, population, 160, Evaluation Function, 3421.0116223940845, time, 117
GA, population, 150, Evaluation Function, 3425.9809977065465, time, 109
Expriment 3-2, GA tune  toMate 200 decrease,iteration 1k, population 200, toMutate 25
GA, toMate, 200, Evaluation Function, 3480.242807803471, time, 148
GA, toMate, 190, Evaluation Function, 3494.834276599993, time, 138
GA, toMate, 180, Evaluation Function, 3488.5255962805613, time, 134
GA, toMate, 170, Evaluation Function, 3509.632400890422, time, 124
GA, toMate, 160, Evaluation Function, 3502.1378362064133, time, 123
GA, toMate, 150, Evaluation Function, 3483.128850254857, time, 113
GA, toMate, 140, Evaluation Function, 3498.975228684936, time, 113
GA, toMate, 130, Evaluation Function, 3524.106734418428, time, 104
GA, toMate, 120, Evaluation Function, 3504.412388893067, time, 102
GA, toMate, 110, Evaluation Function, 3516.081558277137, time, 95
GA, toMate, 100, Evaluation Function, 3494.6743425944273, time, 87
GA, toMate, 90, Evaluation Function, 3493.74611124553, time, 90
GA, toMate, 80, Evaluation Function, 3490.8398255164248, time, 74
GA, toMate, 70, Evaluation Function, 3492.007028923549, time, 68
GA, toMate, 60, Evaluation Function, 3485.081365547119, time, 62
GA, toMate, 50, Evaluation Function, 3496.3527157336275, time, 59
GA, toMate, 40, Evaluation Function, 3484.1607764422442, time, 54
GA, toMate, 30, Evaluation Function, 3487.9097889176273, time, 48
GA, toMate, 20, Evaluation Function, 3460.6185292778873, time, 42
GA, toMate, 10, Evaluation Function, 3426.3715589440008, time, 37
Expriment 3-3, GA tune toMutate,iteration 1k, population 200, toMate 25
GA, toMutate, 30, Evaluation Function, 3531.261370771579, time, 193
GA, toMutate, 29, Evaluation Function, 3552.0960849906173, time, 135
GA, toMutate, 28, Evaluation Function, 3528.1120284322787, time, 140
GA, toMutate, 27, Evaluation Function, 3517.8475476828366, time, 149
GA, toMutate, 26, Evaluation Function, 3545.338202207011, time, 139
GA, toMutate, 25, Evaluation Function, 3520.9784067599476, time, 140
GA, toMutate, 24, Evaluation Function, 3534.205495619741, time, 146
GA, toMutate, 23, Evaluation Function, 3523.1264448941683, time, 142
GA, toMutate, 22, Evaluation Function, 3508.2012134191755, time, 140
GA, toMutate, 21, Evaluation Function, 3552.65856440477, time, 139
GA, toMutate, 20, Evaluation Function, 3529.3901881259167, time, 147
GA, toMutate, 19, Evaluation Function, 3563.1888741705684, time, 135
GA, toMutate, 18, Evaluation Function, 3552.313345129018, time, 135
GA, toMutate, 17, Evaluation Function, 3539.5743395191303, time, 137
GA, toMutate, 16, Evaluation Function, 3557.7117112755404, time, 146
GA, toMutate, 15, Evaluation Function, 3530.1699626973486, time, 134
GA, toMutate, 14, Evaluation Function, 3539.052732304951, time, 131
GA, toMutate, 13, Evaluation Function, 3563.6438988240943, time, 131
GA, toMutate, 12, Evaluation Function, 3562.196577562498, time, 142
GA, toMutate, 11, Evaluation Function, 3543.239909603316, time, 127
GA, toMutate, 10, Evaluation Function, 3542.8986682924683, time, 128
GA, toMutate, 9, Evaluation Function, 3525.5956789092415, time, 128
GA, toMutate, 8, Evaluation Function, 3541.491648381485, time, 131
GA, toMutate, 7, Evaluation Function, 3543.849824381785, time, 127
GA, toMutate, 6, Evaluation Function, 3529.730917644556, time, 123
GA, toMutate, 5, Evaluation Function, 3538.062963945741, time, 126
GA, toMutate, 4, Evaluation Function, 3517.5785016568807, time, 129
GA, toMutate, 3, Evaluation Function, 3431.9421605795214, time, 123
GA, toMutate, 2, Evaluation Function, 3437.2226597524327, time, 124
GA, toMutate, 1, Evaluation Function, 3437.4985783183693, time, 123
Expriment 4-1, MIMIC tune samples decrease, tokeep 100, iteration 1k
MIMIC, samples, 300, Evaluation Function, 3662.319420345467, time, 2221
MIMIC, samples, 290, Evaluation Function, 3661.0948598644973, time, 2123
MIMIC, samples, 280, Evaluation Function, 3669.403294726283, time, 2110
MIMIC, samples, 270, Evaluation Function, 3654.091559012394, time, 2068
MIMIC, samples, 260, Evaluation Function, 3628.6785535075237, time, 2038
MIMIC, samples, 250, Evaluation Function, 3642.9636519427904, time, 1998
MIMIC, samples, 240, Evaluation Function, 3634.392712980013, time, 1971
MIMIC, samples, 230, Evaluation Function, 3634.309261481256, time, 1942
MIMIC, samples, 220, Evaluation Function, 3617.653234405758, time, 1893
MIMIC, samples, 210, Evaluation Function, 3613.5551228709564, time, 1878
MIMIC, samples, 200, Evaluation Function, 3597.7030483781164, time, 1847
MIMIC, samples, 190, Evaluation Function, 3608.3872859972826, time, 1805
