Expriment 2-1, iteration 200k, temperature decrease from 300000, cooling rate:0.95 
SA, temperature, 300000, Evaluation Function, 3576.705904181317, time, 234
SA, temperature, 299000, Evaluation Function, 3575.9023560562277, time, 204
SA, temperature, 298000, Evaluation Function, 3580.530650496404, time, 203
SA, temperature, 297000, Evaluation Function, 3471.342965063746, time, 203
SA, temperature, 296000, Evaluation Function, 3639.60166129552, time, 234
SA, temperature, 295000, Evaluation Function, 3517.3826762687795, time, 187
SA, temperature, 294000, Evaluation Function, 3590.9233931465455, time, 161
SA, temperature, 293000, Evaluation Function, 3794.2629942873277, time, 172
SA, temperature, 292000, Evaluation Function, 3604.9231303068136, time, 171
SA, temperature, 291000, Evaluation Function, 3672.0674739338574, time, 172
SA, temperature, 290000, Evaluation Function, 3586.884618889617, time, 156
SA, temperature, 289000, Evaluation Function, 3571.383700337725, time, 156
SA, temperature, 288000, Evaluation Function, 3617.3064400419166, time, 203
SA, temperature, 287000, Evaluation Function, 3647.5119674406674, time, 172
SA, temperature, 286000, Evaluation Function, 3699.4551963648205, time, 171
SA, temperature, 285000, Evaluation Function, 3618.5916224448715, time, 156
SA, temperature, 284000, Evaluation Function, 3581.9318739490195, time, 165
SA, temperature, 283000, Evaluation Function, 3532.350592739724, time, 160
SA, temperature, 282000, Evaluation Function, 3704.6009964745576, time, 203
SA, temperature, 281000, Evaluation Function, 3595.4594835200164, time, 156
SA, temperature, 280000, Evaluation Function, 3562.376311213945, time, 172
SA, temperature, 279000, Evaluation Function, 3596.3218589214466, time, 172
SA, temperature, 278000, Evaluation Function, 3626.709591931798, time, 188
SA, temperature, 277000, Evaluation Function, 3607.118318021095, time, 187
SA, temperature, 276000, Evaluation Function, 3621.5856997592955, time, 171
SA, temperature, 275000, Evaluation Function, 3590.1423219044264, time, 187
SA, temperature, 274000, Evaluation Function, 3678.7547202869064, time, 187
SA, temperature, 273000, Evaluation Function, 3717.0586730844584, time, 188
SA, temperature, 272000, Evaluation Function, 3661.030657368259, time, 172
SA, temperature, 271000, Evaluation Function, 3719.7812810431474, time, 203
SA, temperature, 270000, Evaluation Function, 3559.0768528711674, time, 187
SA, temperature, 269000, Evaluation Function, 3752.6228738322957, time, 188
SA, temperature, 268000, Evaluation Function, 3648.402512109317, time, 172
SA, temperature, 267000, Evaluation Function, 3601.8080549853858, time, 188
SA, temperature, 266000, Evaluation Function, 3508.024058153022, time, 203
SA, temperature, 265000, Evaluation Function, 3680.3080432068305, time, 202
SA, temperature, 264000, Evaluation Function, 3583.9020454271636, time, 171
SA, temperature, 263000, Evaluation Function, 3457.38141138359, time, 172
SA, temperature, 262000, Evaluation Function, 3417.7926151270954, time, 203
SA, temperature, 261000, Evaluation Function, 3514.1629130736055, time, 187
SA, temperature, 260000, Evaluation Function, 3686.4219167574097, time, 171
SA, temperature, 259000, Evaluation Function, 3623.9460312380743, time, 187
SA, temperature, 258000, Evaluation Function, 3517.734034791567, time, 187
SA, temperature, 257000, Evaluation Function, 3604.9106812098953, time, 203
SA, temperature, 256000, Evaluation Function, 3614.9044374974997, time, 188
SA, temperature, 255000, Evaluation Function, 3638.4182267198994, time, 187
SA, temperature, 254000, Evaluation Function, 3595.2131625713114, time, 171
SA, temperature, 253000, Evaluation Function, 3681.722956285331, time, 188
SA, temperature, 252000, Evaluation Function, 3678.612157586696, time, 171
SA, temperature, 251000, Evaluation Function, 3584.0871351383607, time, 171
SA, temperature, 250000, Evaluation Function, 3461.0239569699684, time, 188
SA, temperature, 249000, Evaluation Function, 3462.630308153821, time, 171
SA, temperature, 248000, Evaluation Function, 3630.0290437619437, time, 187
SA, temperature, 247000, Evaluation Function, 3442.906909835003, time, 172
SA, temperature, 246000, Evaluation Function, 3607.378848083678, time, 187
SA, temperature, 245000, Evaluation Function, 3636.5879310571027, time, 171
SA, temperature, 244000, Evaluation Function, 3726.795477611641, time, 187
SA, temperature, 243000, Evaluation Function, 3529.81522078788, time, 187
SA, temperature, 242000, Evaluation Function, 3651.502023380871, time, 187
SA, temperature, 241000, Evaluation Function, 3605.276634301208, time, 188
SA, temperature, 240000, Evaluation Function, 3681.0835278400377, time, 187
SA, temperature, 239000, Evaluation Function, 3642.460090415146, time, 171
SA, temperature, 238000, Evaluation Function, 3635.522837949532, time, 188
SA, temperature, 237000, Evaluation Function, 3680.5093304660527, time, 219
SA, temperature, 236000, Evaluation Function, 3625.776477304889, time, 187
SA, temperature, 235000, Evaluation Function, 3518.7891925607096, time, 187
SA, temperature, 234000, Evaluation Function, 3507.6774791855782, time, 187
SA, temperature, 233000, Evaluation Function, 3677.927258245452, time, 172
SA, temperature, 232000, Evaluation Function, 3537.1503142582164, time, 187
SA, temperature, 231000, Evaluation Function, 3568.565504123125, time, 172
SA, temperature, 230000, Evaluation Function, 3552.905605042325, time, 187
SA, temperature, 229000, Evaluation Function, 3654.0805195243447, time, 171
SA, temperature, 228000, Evaluation Function, 3678.337260676841, time, 188
SA, temperature, 227000, Evaluation Function, 3611.4001688233357, time, 187
SA, temperature, 226000, Evaluation Function, 3505.406881369262, time, 187
SA, temperature, 225000, Evaluation Function, 3477.885012912415, time, 187
SA, temperature, 224000, Evaluation Function, 3655.848494912509, time, 187
SA, temperature, 223000, Evaluation Function, 3669.931485784097, time, 187
SA, temperature, 222000, Evaluation Function, 3622.0505569768825, time, 187
SA, temperature, 221000, Evaluation Function, 3650.917980613578, time, 171
SA, temperature, 220000, Evaluation Function, 3626.6247321207575, time, 188
SA, temperature, 219000, Evaluation Function, 3654.7604881403136, time, 172
SA, temperature, 218000, Evaluation Function, 3594.8874758292077, time, 188
SA, temperature, 217000, Evaluation Function, 3692.9070460113526, time, 171
SA, temperature, 216000, Evaluation Function, 3606.043723765216, time, 156
SA, temperature, 215000, Evaluation Function, 3667.1267132228436, time, 187
SA, temperature, 214000, Evaluation Function, 3552.6747665777043, time, 172
SA, temperature, 213000, Evaluation Function, 3710.091231855203, time, 188
SA, temperature, 212000, Evaluation Function, 3509.5011018423397, time, 171
